幪	mông
幫	bang
幬	trù
干	can
平	bình
年	niên
并	tinh
幸	hạnh
幹	cán
幺	yêu
幻	huyễn
幼	ấu
幽	u
幾	ki
广	nghiễm
庀	phỉ
庄	trang
庇	tí
床	sàng
庋	kĩ
序	tự
底	để
庖	bào
店	điếm
庚	canh
府	phủ
庠	tường
庥	hưu
度	độ
座	toạ
庫	khố
庬	mang
庭	đình
庳	bí
庵	am
庶	thứ
康	khang
庸	dong
庾	dữu
廁	xí
廂	sương
廄	cứu
廈	hạ
廉	liêm
廊	lang
廋	sưu
廌	trĩ
廏	cứu
廑	cần
廒	ngao
廓	khuếch
廕	ấm
廖	liêu
廚	trù
廛	triền
廝	tư
廟	miếu
廠	xưởng
廡	vũ
廢	phế
廣	quảng
廨	giải
廩	lẫm
廬	lư
廱	ung
廳	thính
廴	dẫn
延	duyên
廷	đình
建	kiến
廻	hồi
廼	nãi
廾	củng
廿	nhập
弁	biện
异	di
弃	khí
弄	lộng
弇	yểm
弈	dịch
弊	tệ
弋	dặc
弌	nhất
弍	nhị
弎	tam
式	thức
弒	thí
弓	cung
弔	điếu
引	dẫn
弗	phất
弘	hoằng
弛	thỉ
弟	đệ
弢	thao
弤	để
弥	di
弦	huyền
弧	hồ
弩	nỗ
弭	nhị
弱	nhược
張	trương
强	cường
弻	bật
彀	cấu
彄	khu
彈	đạn
彊	cường
彌	di
彍	khoắc
彐	kí
彖	thoán
彗	tuệ
彘	trệ
彙	vị
彞	di
彠	hoạch
彡	sam
形	hình
彤	đồng
彥	ngạn
彧	úc
彩	thải
彪	bưu
彫	điêu
彬	bân
彭	bành
彯	phiêu
彰	chương
影	ảnh
彳	sách
彷	bàng
役	dịch
彼	bỉ
征	chinh
徂	tồ
待	đãi
徇	tuẫn
很	ngận
徉	dương
徊	hồi
律	luật
後	hậu
徐	từ
徑	kính
徒	đồ
得	đắc
徘	bồi
徙	tỉ
徜	thảng
從	tòng
徠	lai
御	ngự
徧	biến
徨	hoàng
復	phục
循	tuần
徬	bạng
徭	dao
微	vi
徹	triệt
徼	kiếu
徽	huy
心	tâm
必	tất
忉	đao
忌	kị
忍	nhẫn
忒	thắc
忖	thốn
志	chí
忘	vong
忙	mang
忝	thiểm
忠	trung
忡	sung
忤	ngỗ
忩	thông
快	khoái
忭	biện
忮	kĩ
忱	thầm
忴	linh
念	niệm
忸	nữu
忻	hân
忼	khảng
忽	hốt
忿	phẫn
怀	phó
怍	tạc
怎	chẩm
怏	ưởng
怒	nộ
怔	chinh
怕	phạ
怖	phố
怜	linh
思	tư
怠	đãi
怡	di
急	cấp
怦	phanh
性	tính
怨	oán
怩	ny
怪	quái
怫	phật
怯	khiếp
怳	hoảng
怵	truật
