樔 樔
椔 椔
東 đông
柶 柶
棵 khỏa
梱 khổn
柬 giản
梩 梩
鶇 鶇
棞 棞
槶 槶
棝 棝
柙 hiệp
欏 la
檡 檡
楞 lăng
檌 檌
椳 ôi
楒 楒
樏 樏
欙 欙
櫑 櫑
朴 phác
棹 trạo
楴 楴
檛 檛
楨 trinh
櫳 long
榜 bảng
樀 樀
校 giáo
橔 橔
槨 quách
櫬 sấn
椒 tiêu
柱 trụ
楌 楌
杭 hàng
槌 chùy
枋 phương
樴 chức
橀 橀
梳 sơ
枓 枓
槤 liên
楌 楌
柿 thị
檅 檅
櫏 櫏
橠 橠
椊 椊
榩 榩
樝 tra
櫨 lô
枮 枮
櫧 櫧
槁 cảo
椋 椋
楟 楟
檺 檺
欀 欀
椸 di
檹 檹
棜 棜
柆 柆
橦 đồng
樟 chương
梓 tử
檖 檖
檍 檍
棓 棓
樈 樈
檤 檤
椄 椄
樆 樆
核 hạch
檁 lẫm
檀 đàn
櫰 櫰
榱 suy
櫅 櫅
水 thủy
汨 mịch
沓 đạp
汩 cốt
淐 淐
溫 ôn
灦 灦
灝 hạo
滉 hoảng
涅 niết
溡 溡
湦 湦
湄 mi
溉 cái
泹 泹
湯 thang
淂 淂
涆 涆
淏 淏
湜 thực
澗 giản
澗 giản
澖 澖
灁 灁
潤 nhuận
灛 灛
潣 潣
闊 khoát
瀾 lan
混 hỗn
渴 khát
瀑 bộc
濕 thấp
